Name,Origin,Cylinders,Horsepower
Mercury Monterey,USA,6,201
Mercury Mountaineer,USA,4,239
Mercury Sable,USA,4,263
Mini Cooper,Europe,4,118
Mitsubishi Eclipse,Asia,6,260
Mitsubishi Endeavor,Asia,6,215
Mitsubishi Galant,Asia,6,230
Mitsubishi Lancer,Asia,4,152
Mitsubishi Montero,Asia,6,215
Mitsubishi Outlander,Asia,6,220
Mitsubishi Raider,Asia,8,230
Nissan 350Z,Asia,6,287
Nissan Altima,Asia,6,270
Nissan Armada,Asia,8,317
Nissan Frontier,Asia,6,261
Nissan GT-R,Asia,6,480
Nissan Maxima,Asia,6,290
Nissan Murano,Asia,6,265
Nissan Pathfinder,Asia,6,270
Nissan Quest,Asia,6,235
Nissan Rogue,Asia,4,170
Nissan Sentra,Asia,4,140
Nissan Titan,Asia,8,317
Nissan Versa,Asia,4,122
Nissan Xterra,Asia,6,261
Pontiac Aztek,USA,6,185
Pontiac Bonneville,USA,6,205
Pontiac G5,USA,4,173
Pontiac G6,USA,6,224
Pontiac G8,USA,6,361
Pontiac Grand Prix,USA,6,200
Pontiac GTO,USA,8,350
Pontiac Montana,USA,6,200
Pontiac Solstice,USA,4,177
Pontiac Torrent,USA,4,126
Pontiac Vibe,USA,4,130
Porsche 911,Europe,6,355
Porsche Boxster,Europe,6,240
Porsche Cayenne,Europe,8,385
Porsche Cayman,Europe,6,295
Saab 9-2X,Europe,4,173
Saab 9-3,Europe,4,210
Saab 9-5,Europe,4,260
Saab 9-7X,Europe,8,300
Saturn Astra,USA,4,138
Saturn Aura,USA,4,169
Saturn Ion,USA,4,140
Saturn Outlook,USA,6,275
Saturn Relay,USA,6,200
Saturn Sky,USA,4,260
Saturn Vue,USA,6,257
Scion tC,Asia,4,160
Scion xA,Asia,4,108
Scion xB,Asia,4,158
Scion xD,Asia,4,128
Smart ForTwo,Europe,3,71
Subaru B9 Tribeca,Asia,6,250
Subaru Baja,Asia,4,165
Subaru Forester,Asia,4,224
Subaru Impreza,Asia,4,170
Subaru Legacy,Asia,4,250
Subaru Outback,Asia,6,250
Subaru Tribeca,Asia,6,256
Suzuki Aerio,Asia,4,145
Suzuki Forenza,Asia,4,126
Suzuki Grand Vitara,Asia,6,185
Suzuki SX4,Asia,4,143
Suzuki Verona,Asia,4,155
Suzuki XL-7,Asia,6,252
Toyota 4Runner,Asia,6,239
Toyota Avalon,Asia,6,280
Toyota Camry,Asia,6,268
Toyota Camry Hybrid,Asia,4,187
Toyota Camry Solara,Asia,6,225
Toyota Celica,Asia,4,180
Toyota Corolla,Asia,4,132
Toyota FJ Cruiser,Asia,6,239
Toyota Highlander,Asia,6,270
Toyota Highlander Hybrid,Asia,6,270
Toyota Land Cruiser,Asia,8,381
Toyota Matrix,Asia,4,158
Toyota MR2,Asia,4,138
Toyota Prius,Asia,4,110
Toyota RAV4,Asia,6,269
Toyota Sequoia,Asia,8,381
Toyota Sienna,Asia,6,266
Toyota Tacoma,Asia,6,239
Toyota Tundra,Asia,8,381
Toyota Yaris,Asia,4,106
Volkswagen Eos,Europe,4,200
Volkswagen Golf,Europe,6,200
Volkswagen GTI,Europe,4,200
Volkswagen Jetta,Europe,5,150
Volkswagen New Beetle,Europe,4,150
Volkswagen Passat,Europe,4,200
Volkswagen Phaeton,Europe,8,335
Volkswagen R32,Europe,6,250
Volkswagen Rabbit,Europe,5,170
Volkswagen Tiguan,Europe,4,200
Volkswagen Touareg 2,Europe,6,280
Volvo C30,Europe,5,227
Volvo C70,Europe,5,227
Volvo S40,Europe,5,168
Volvo S60,Europe,5,208
Volvo S80,Europe,6,235
Volvo V50,Europe,6,168
Volvo V70/XC70,Europe,6,235
Volvo XC90,Europe,8,311
