Model,Vehicle,Type,Origin,Seats,Drive,Engine,Cylinders,Horsepower,Mileage Overall,Mileage Highway,Mileage City,Zero-60 (sec),Braking Dry (ft),Braking Wet (ft),Avoidance Maneuver (mph),Length,Width,Height,Wheelbase,Turning Circle,Weight,Max Load,Cargo Volume,Front Shoulder,Front Leg Room,Front Head Room,Rear Shoulder,Rear Leg Room,Rear Head Room,Reliable,Satisfaction,Routine Handling,Emergency Handling,CrashDriver,CrashPassenger,SideCrashDriver,SideCrashPassenger,Frontal Offset-IIHS,Side-IIHS,Rollover Rating,Price,Category,Unnamed: 43
BMW X5,sport utility,luxury sport utility,Europe,5.0,all,3.0,6.0,260.0,17.0,22.0,12.0,8.6,130.0,142.0,53.0,191.0,76.0,70.0,116.0,42.0,5025.0,1350.0,36.0,59.5,40.5,3.5,57.0,26.5,3.0,fair,good,very good,very good,5,4,5,5.0,good,good,good,56000.0,0.0,
BMW X6,sport utility,luxury sport utility,Europe,4.0,all,3.0,6.0,300.0,,,,,,,,191.0,76.0,,116.0,,,,,,,,,,,,,,,,,,,,,,62000.0,0.0,
BMW Z4,car,sports car,Europe,2.0,rear,3.0,6.0,225.0,26.0,34.0,19.0,6.0,117.0,126.0,55.5,161.0,70.0,50.0,98.0,33.0,3170.0,550.0,2.0,51.5,41.0,4.5,,,,good,,very good,very good,4,4,3,,,,excellent,46000.0,0.0,
Buick Enclave,sport utility,midsize sport utility,USA,8.0,front or all,3.6,6.0,275.0,15.0,24.0,10.0,8.9,142.0,153.0,50.0,201.0,78.0,70.0,119.0,43.0,5100.0,1335.0,44.0,62.0,41.5,3.5,60.5,30.0,4.0,fair,good,very good,good,,,,,good,good,good,39000.0,0.0,
Buick LaCrosse,car,family car,USA,5.0,front,3.8,6.0,200.0,18.0,30.0,12.0,9.0,146.0,160.0,50.0,198.0,73.0,57.0,111.0,40.0,3565.0,915.0,16.0,57.0,41.0,2.0,56.5,27.0,1.5,average,fair,good,very good,4,4,5,5.0,good,marginal,good,32000.0,0.0,
Buick Lucerne,car,upscale car,USA,5.0,front,4.6,8.0,275.0,17.0,26.0,11.0,7.5,143.0,152.0,53.0,203.0,74.0,58.0,116.0,47.0,4095.0,925.0,17.0,58.0,42.5,3.0,57.5,31.5,2.5,good,average,very good,fair,4,4,5,5.0,good,acceptable,excellent,39000.0,0.0,
Buick Rainier,sport utility,midsize sport utility,USA,5.0,rear or all,4.2,6.0,275.0,,,,,,,,192.0,75.0,75.0,113.0,39.0,4830.0,1020.0,39.0,58.5,40.0,2.5,58.0,25.5,3.5,fair,good,,,3,3,5,5.0,marginal,,good,36000.0,0.0,
Buick Rendezvous,sport utility,midsize sport utility,USA,7.0,front or all,3.5,6.0,242.0,16.0,,,11.4,142.0,,47.0,187.0,74.0,69.0,112.0,40.0,4230.0,1215.0,45.0,59.0,40.0,4.5,59.0,29.5,6.0,average,average,good,fair,3,3,5,5.0,acceptable,,,36000.0,0.0,
Buick Terraza,minivan,minivan,USA,7.0,front or all,3.5,6.0,201.0,17.0,,,,,,,205.0,72.0,72.0,121.0,43.0,4420.0,1410.0,51.0,59.0,40.0,4.0,61.0,26.0,3.5,poor,fair,,,3,5,,,,,,32000.0,0.0,
Cadillac CTS,car,upscale car,USA,5.0,rear,3.6,6.0,263.0,19.0,28.0,13.0,6.8,131.0,138.0,53.5,192.0,73.0,58.0,113.0,38.0,3940.0,890.0,14.0,56.0,44.0,3.0,54.0,28.5,1.5,fair,excellent,excellent,very good,5,4,4,4.0,good,good,good,42000.0,0.0,
Cadillac DTS,car,luxury car,USA,6.0,front,4.6,8.0,275.0,17.0,28.0,11.0,7.6,145.0,151.0,50.5,208.0,75.0,58.0,116.0,44.0,4085.0,1095.0,19.0,60.5,42.0,3.0,59.0,29.0,3.5,average,good,good,fair,4,4,4,5.0,good,acceptable,good,49000.0,0.0,
Cadillac Escalade,sport utility,luxury sport utility,USA,8.0,rear or all,6.2,8.0,403.0,13.0,21.0,9.0,7.5,158.0,181.0,46.5,203.0,79.0,75.0,116.0,42.0,5810.0,1330.0,46.5,64.0,40.0,3.0,64.5,27.0,3.5,poor,average,,,5,5,5,5.0,,,average,65000.0,0.0,
Cadillac SRX,sport utility,luxury sport utility,USA,7.0,rear or all,3.6,6.0,255.0,16.0,23.0,10.0,8.3,138.0,152.0,51.5,195.0,73.0,68.0,116.0,42.0,4730.0,1285.0,37.0,58.0,40.0,3.5,56.5,28.0,2.0,poor,fair,very good,good,4,4,5,5.0,good,,good,48000.0,0.0,
Cadillac STS,car,luxury car,USA,5.0,rear or all,3.6,6.0,302.0,18.0,28.0,12.0,6.4,133.0,147.0,53.0,196.0,73.0,58.0,116.0,40.0,4000.0,890.0,14.0,58.0,42.0,3.0,57.5,27.0,2.0,fair,average,excellent,very good,4,4,4,5.0,good,acceptable,excellent,58000.0,0.0,
Cadillac XLR,car,convertible,USA,2.0,rear,4.6,8.0,320.0,17.0,,,6.4,133.0,,54.5,178.0,72.0,50.0,106.0,41.0,3680.0,400.0,4.0,53.0,40.5,2.5,,,,,,,,,,,,,,,91000.0,0.0,
Chevrolet Avalanche,truck,truck,USA,6.0,rear or selectable 4WD,5.3,8.0,310.0,13.0,20.0,9.0,10.1,153.0,176.0,46.5,221.0,79.0,77.0,130.0,46.0,6010.0,1230.0,,64.5,40.0,3.5,64.5,27.0,4.5,average,good,good,fair,5,5,5,5.0,,,average,46000.0,0.0,
Chevrolet Aveo,car,small car,USA,5.0,front,1.6,4.0,103.0,27.0,36.0,19.0,11.2,137.0,146.0,51.5,153.0,66.0,59.0,98.0,35.0,2530.0,860.0,14.0,53.5,40.0,5.5,51.0,26.0,2.0,fair,,good,good,5,5,4,4.0,acceptable,marginal,good,14000.0,1.0,
Chevrolet Cobalt,car,small car,USA,5.0,front,2.2,4.0,148.0,24.0,34.0,16.0,9.3,141.0,157.0,51.0,180.0,68.0,57.0,103.0,37.0,2850.0,890.0,14.0,53.0,41.5,3.5,50.0,27.0,3.0,average,poor,very good,very good,4,5,3,5.0,good,acceptable,good,19000.0,1.0,
Chevrolet Colorado,truck,truck,USA,6.0,rear or parttime 4WD,3.5,5.0,220.0,16.0,23.0,11.0,9.6,156.0,167.0,47.5,207.0,69.0,65.0,126.0,48.0,4270.0,1125.0,,54.5,42.0,5.0,54.0,26.0,3.0,poor,poor,good,fair,5,5,4,5.0,acceptable,poor,good,26000.0,0.0,
Chevrolet Corvette,car,sports car,USA,2.0,rear,7.0,8.0,505.0,19.0,28.0,13.0,4.3,121.0,133.0,56.5,175.0,73.0,49.0,106.0,42.0,3280.0,390.0,11.0,53.5,41.0,4.0,,,,poor,excellent,excellent,excellent,  ,  ,,,,,,75000.0,0.0,
Chevrolet Equinox,sport utility,small sport utility,USA,5.0,front or all,3.4,6.0,185.0,18.0,,,9.1,146.0,,49.5,189.0,71.0,69.0,113.0,43.0,3880.0,1115.0,36.5,55.5,41.0,4.0,55.5,32.0,5.0,average,poor,,,5,5,4,4.0,good,,good,28000.0,0.0,
Chevrolet HHR,car,wagon,USA,5.0,front,2.4,4.0,172.0,23.0,,,9.2,148.0,,49.5,176.0,69.0,65.0,104.0,41.0,3265.0,820.0,29.5,54.0,41.5,2.5,53.0,27.5,4.5,average,average,,,5,5,5,5.0,good,acceptable,good,24000.0,1.0,
Chevrolet Impala,car,family car,USA,6.0,front,3.9,6.0,242.0,20.0,29.0,13.0,7.8,141.0,155.0,50.0,200.0,73.0,59.0,111.0,41.0,3710.0,945.0,19.0,57.5,40.5,4.0,58.0,26.0,1.5,average,fair,very good,good,5,5,5,4.0,acceptable,good,good,27000.0,0.0,
Chevrolet Malibu,car,family car,USA,5.0,front,2.4,4.0,169.0,25.0,38.0,16.0,9.4,138.0,162.0,50.0,192.0,70.0,57.0,112.0,42.0,3460.0,915.0,15.0,55.0,41.5,4.0,52.5,30.0,2.0,good,good,very good,very good,5,5,5,5.0,good,good,good,24000.0,1.0,
Chevrolet Malibu Hybrid,car,family car,USA,6.0,front,2.4,4.0,164.0,27.0,38.0,18.0,10.3,131.0,157.0,51.5,192.0,70.0,57.0,112.0,42.0,3455.0,915.0,15.0,55.0,41.5,4.0,52.5,30.0,2.0,,,very good,good,5,5,5,5.0,good,good,good,27000.0,0.0,
Chevrolet Silverado 1500,truck,truck,USA,6.0,rear or selectable 4WD,3.6,6.0,295.0,13.0,21.0,9.0,8.5,153.0,185.0,46.5,230.0,80.0,74.0,144.0,50.0,5435.0,1570.0,,64.5,41.0,6.5,64.5,29.0,6.0,average,average,good,fair,5,5,5,5.0,,,,37000.0,0.0,
Chevrolet Suburban,sport utility,large sport utility,USA,9.0,rear or selectable 4WD,5.3,8.0,320.0,14.0,20.0,9.0,9.1,147.0,165.0,45.0,222.0,79.0,77.0,130.0,45.0,5935.0,1460.0,61.0,64.5,41.5,3.5,64.5,29.5,3.5,fair,good,very good,good,5,5,5,5.0,,,average,51000.0,0.0,
Chevrolet Tahoe,sport utility,large sport utility,USA,9.0,rear or selectable 4WD,5.3,8.0,320.0,14.0,19.0,9.0,9.0,151.0,168.0,44.0,202.0,79.0,77.0,116.0,42.0,5715.0,1580.0,50.5,64.5,41.0,7.0,65.0,27.5,3.5,average,average,good,fair,5,5,5,5.0,,,average,42000.0,0.0,
Chevrolet TrailBlazer,sport utility,midsize sport utility,USA,7.0,rear or selectable 4WD,4.2,6.0,291.0,15.0,21.0,10.0,9.1,152.0,159.0,49.5,192.0,75.0,75.0,113.0,39.0,4830.0,1020.0,39.0,58.5,40.0,2.5,58.0,25.5,3.5,average,poor,fair,fair,3,4,5,5.0,acceptable,marginal,good,36000.0,0.0,
Chevrolet Uplander,minivan,minivan,USA,7.0,rear or all,3.5,6.0,200.0,17.0,,,10.2,136.0,,48.5,205.0,72.0,72.0,121.0,43.0,4420.0,1410.0,51.0,59.0,40.0,4.0,61.0,26.0,3.5,poor,fair,,,3,5,,,,,,30000.0,0.0,
Chrysler 300,car,upscale car,USA,5.0,rear or all,5.7,8.0,340.0,16.0,27.0,10.0,6.4,133.0,139.0,51.5,197.0,74.0,58.0,120.0,41.0,3850.0,865.0,16.0,59.5,43.0,4.5,57.5,30.5,2.5,fair,fair,,,5,5,4,5.0,good,poor,good,39000.0,0.0,
Chrysler Aspen,sport utility,large sport utility,USA,8.0,rear or all,5.7,8.0,340.0,13.0,20.0,8.0,7.4,144.0,166.0,49.5,201.0,76.0,74.0,119.0,43.0,5150.0,1455.0,44.5,59.0,41.5,4.0,59.0,28.0,4.0,average,average,,,5,5,,,,,good,40000.0,0.0,
Chrysler Crossfire,car,coupe,USA,2.0,rear,3.2,6.0,215.0,22.0,,,7.2,125.0,,56.5,160.0,69.0,51.0,95.0,34.0,3075.0,415.0,7.0,51.5,41.0,3.0,,,,average,average,very good,very good,5,5,5,,,,excellent,38000.0,0.0,
Chrysler Pacifica,sport utility,midsize sport utility,USA,6.0,front or all,4.0,6.0,253.0,16.0,26.0,11.0,8.6,135.0,146.0,49.0,199.0,79.0,67.0,116.0,42.0,4720.0,1000.0,35.5,60.0,38.0,3.0,59.0,31.0,3.0,poor,fair,very good,good,5,5,5,5.0,good,,good,34000.0,0.0,
Chrysler PT Cruiser,car,wagon,USA,5.0,front,2.4,4.0,180.0,20.0,29.0,13.0,8.1,143.0,165.0,51.0,169.0,67.0,61.0,103.0,41.0,3350.0,865.0,32.0,54.0,40.5,2.0,53.0,28.0,4.0,fair,,very good,good,4,4,4,5.0,good,poor,good,24000.0,1.0,
Chrysler Sebring,car,family car,USA,5.0,front,2.7,6.0,189.0,21.0,32.0,14.0,8.9,144.0,153.0,52.5,191.0,71.0,59.0,109.0,40.0,3480.0,825.0,13.0,56.5,41.0,3.0,56.0,28.0,3.5,poor,poor,very good,good,5,5,5,4.0,good,good,good,35000.0,0.0,
Chrysler Town & Country,minivan,minivan,USA,7.0,front or all,4.0,6.0,251.0,17.0,27.0,11.0,8.8,149.0,172.0,46.5,203.0,77.0,69.0,121.0,42.0,4755.0,1150.0,61.5,62.5,41.0,3.5,64.0,31.0,4.5,poor,fair,good,fair,5,5,5,5.0,good,good,good,35000.0,0.0,
Dodge Avenger,car,family car,USA,5.0,front or all,3.5,6.0,235.0,20.0,30.0,13.0,7.7,140.0,161.0,51.5,191.0,72.0,59.0,109.0,41.0,3550.0,865.0,13.0,56.0,41.0,2.5,56.0,28.0,3.5,poor,fair,very good,good,5,5,5,4.0,good,good,good,23000.0,1.0,
Dodge Caliber,car,family car,USA,5.0,front or all,2.0,4.0,158.0,24.0,32.0,17.0,10.5,149.0,157.0,49.5,174.0,69.0,60.0,104.0,43.0,3405.0,865.0,20.0,54.0,41.5,2.0,52.5,26.0,3.5,good,fair,very good,good,5,5,5,5.0,good,marginal,good,24000.0,1.0,
